lemma	docs	occurrences
справедливо	4844.0	9019.0
болезненность	378.0	507.0
живность	672.0	858.0
сцепить	637.0	877.0
хмель	1252.0	2269.0
златой	555.0	1063.0
заблаговременно	1162.0	1776.0
опиум	597.0	1386.0
кальсоны	450.0	844.0
квартирка	993.0	1797.0
метеоризм	25.0	41.0
начитаться	629.0	766.0
вытереть	2223.0	4860.0
партнерша	358.0	702.0
бастовать	556.0	937.0
раскопка	1105.0	3054.0
бескрылый	197.0	304.0
предназначаться	1777.0	2468.0
орловский	1102.0	2113.0
колумбия	369.0	696.0
слипаться	591.0	719.0
заговорщик	973.0	2261.0
зачерпывать	178.0	201.0
футболка	477.0	877.0
гей	566.0	1369.0
разверстый	220.0	269.0
сидень	388.0	661.0
знойный	1274.0	2005.0
товарка	373.0	649.0
искус	379.0	553.0
вакансия	779.0	1403.0
обнаруживать	3650.0	7189.0
биографический	912.0	1542.0
юбилейный	1746.0	2779.0
подследственный	326.0	683.0
кинохроника	255.0	377.0
добиваться	4624.0	7890.0
уборщик	180.0	269.0
аккумулировать	307.0	364.0
карельский	535.0	1280.0
инвестиция	2571.0	5906.0
впервые	13735.0	37625.0
титанический	559.0	727.0
домовладелец	766.0	1112.0
пересаживаться	380.0	462.0
непостижимый	2194.0	4461.0
истрепать	448.0	521.0
умудриться	1139.0	1661.0
уточнить	2389.0	4380.0
автостоянка	239.0	383.0
полыхнуть	327.0	451.0
окись	539.0	1617.0
несоблюдение	486.0	633.0
нажим	1053.0	1546.0
кадык	498.0	768.0
клоп	1036.0	2304.0
засека	412.0	692.0
солома	2351.0	6258.0
толщь	451.0	784.0
травка	1536.0	3476.0
подкатить	1035.0	1502.0
трудолюбие	1001.0	1394.0
гигиена	833.0	1714.0
практически	12268.0	23190.0
прокуратура	2098.0	6415.0
вазелин	180.0	284.0
колбочка	96.0	185.0
гепард	71.0	228.0
антология	319.0	665.0
наука	16698.0	83924.0
контактный	690.0	1224.0
подсветка	329.0	470.0
поправка	3725.0	7234.0
каморка	912.0	2053.0
корявый	1279.0	2063.0
выпятить	705.0	1025.0
грызло	411.0	497.0
богоматерь	780.0	1837.0
рентгенография	28.0	39.0
косичка	698.0	1163.0
рэкет	177.0	244.0
смирновский	94.0	338.0
запястье	906.0	1767.0
вполне	19868.0	68639.0
обуться	271.0	322.0
самосознание	1260.0	2937.0
ручной	3179.0	5649.0
зрелый	2839.0	4709.0
приберегать	192.0	215.0
ринк	30.0	309.0
сберкнижка	164.0	226.0
увеличивать	3770.0	5298.0
блиндаж	352.0	1512.0
обмануть	5142.0	12170.0
протрава	17.0	28.0
добренький	287.0	436.0
прививок	809.0	1948.0
нахамить	121.0	138.0
сотка	478.0	750.0
оторванность	398.0	495.0
марксистский	1024.0	2569.0
борона	366.0	660.0
маркиз	1041.0	4983.0
еремкин	7.0	18.0
ляля	234.0	3109.0
казанский	2625.0	6567.0
робкий	4536.0	11598.0
марка	6101.0	18405.0
аллергический	208.0	347.0
психушка	305.0	581.0
эротический	845.0	1670.0
избирать	1670.0	2826.0
забредать	224.0	278.0
добровольный	4800.0	9364.0
отплатить	712.0	996.0
треба	478.0	876.0
мариновать	510.0	778.0
обозлиться	489.0	759.0
творческий	7686.0	22308.0
троцкист	273.0	920.0
деградировать	343.0	408.0
тамада	148.0	390.0
ходун	512.0	664.0
вычеркнуть	1239.0	1806.0
угу	476.0	1034.0
задержание	1159.0	1999.0
прецедент	803.0	1082.0
Иран	905.0	2829.0
экипировка	298.0	382.0
заталкивать	208.0	246.0
смертельный	4526.0	8616.0
равнодушный	5491.0	15143.0
вероисповедание	893.0	1428.0
станция	10327.0	40188.0
направо	3697.0	8509.0
стиль	7258.0	20733.0
начистоту	455.0	589.0
свидетельство	5988.0	13645.0
хохотушка	144.0	186.0
протереть	1353.0	2024.0
маринка	192.0	1401.0
крученый	300.0	543.0
консервы	1291.0	2760.0
бразилия	1075.0	2097.0
растратить	671.0	837.0
клинический	1146.0	3297.0
примерка	298.0	424.0
грести	1118.0	2311.0
моторка	130.0	294.0
дерзко	1011.0	1446.0
курящий	421.0	581.0
предсердие	41.0	121.0
совместительство	565.0	706.0
вышесказанный	653.0	862.0
отвлекаться	1309.0	1875.0
сокурсник	254.0	363.0
следовать	37075.0	181529.0
красавчик	392.0	813.0
изойти	338.0	435.0
боулдер	13.0	35.0
вековечный	465.0	644.0
понижение	1377.0	2309.0
пригласительный	337.0	448.0
упряжка	571.0	1176.0
подтянуть	1850.0	3137.0
кубарь	99.0	170.0
ликвидировать	2558.0	4342.0
предводитель	1518.0	4757.0
естество	1052.0	2604.0
тетерев	420.0	1541.0
приветливость	511.0	656.0
траур	1037.0	1758.0
прекращение	2980.0	5816.0
дифференциальный	367.0	921.0
учредительный	737.0	3039.0
кефир	459.0	978.0
никудышный	384.0	463.0
побег	2932.0	7635.0
зажужжать	206.0	245.0
